 good                                                                             ,  part                                                                             ,  quantity

"GLACIAL MASS"                                                                    , "HEAVY WATER"                                                                     ,       "69"
"GLACIAL MASS"                                                                    , "LIQUID OZONE"                                                                    ,       "35"
"GLACIAL MASS"                                                                    , "STRONTIUM CLATHRATES"                                                            ,        "1"
"GLACIAL MASS"                                                                    , "HYDROGEN ISOTOPES"                                                               ,      "414"
"SMOOTH GLACIAL MASS"                                                             , "HEAVY WATER"                                                                     ,      "104"
"SMOOTH GLACIAL MASS"                                                             , "LIQUID OZONE"                                                                    ,       "55"
"SMOOTH GLACIAL MASS"                                                             , "STRONTIUM CLATHRATES"                                                            ,        "1"
"SMOOTH GLACIAL MASS"                                                             , "HYDROGEN ISOTOPES"                                                               ,      "483"

"ARKONOR"                                                                         , "TRITANIUM"                                                                       ,    "22000"
"ARKONOR"                                                                         , "MEXALLON"                                                                        ,     "2500"
"ARKONOR"                                                                         , "MEGACYTE"                                                                        ,      "320"
"CRIMSON ARKONOR"                                                                 , "TRITANIUM"                                                                       ,    "23100"
"CRIMSON ARKONOR"                                                                 , "MEXALLON"                                                                        ,     "2625"
"CRIMSON ARKONOR"                                                                 , "MEGACYTE"                                                                        ,      "336"
"PRIME ARKONOR"                                                                   , "TRITANIUM"                                                                       ,    "24200"
"PRIME ARKONOR"                                                                   , "MEXALLON"                                                                        ,     "2750"
"PRIME ARKONOR"                                                                   , "MEGACYTE"                                                                        ,      "352"
"BISTOT"                                                                          , "PYERITE"                                                                         ,    "12000"
"BISTOT"                                                                          , "ZYDRINE"                                                                         ,      "450"
"BISTOT"                                                                          , "MEGACYTE"                                                                        ,      "100"
"TRICLINIC BISTOT"                                                                , "PYERITE"                                                                         ,    "12600"
"TRICLINIC BISTOT"                                                                , "ZYDRINE"                                                                         ,      "473"
"TRICLINIC BISTOT"                                                                , "MEGACYTE"                                                                        ,      "105"
"MONOCLINIC BISTOT"                                                               , "PYERITE"                                                                         ,    "13200"
"MONOCLINIC BISTOT"                                                               , "ZYDRINE"                                                                         ,      "495"
"MONOCLINIC BISTOT"                                                               , "MEGACYTE"                                                                        ,      "110"
"CROKITE"                                                                         , "TRITANIUM"                                                                       ,    "21000"
"CROKITE"                                                                         , "NOCXIUM"                                                                         ,      "760"
"CROKITE"                                                                         , "ZYDRINE"                                                                         ,      "135"
"SHARP CROKITE"                                                                   , "TRITANIUM"                                                                       ,    "22050"
"SHARP CROKITE"                                                                   , "NOCXIUM"                                                                         ,      "798"
"SHARP CROKITE"                                                                   , "ZYDRINE"                                                                         ,      "142"
"CRYSTALLINE CROKITE"                                                             , "TRITANIUM"                                                                       ,    "23100"
"CRYSTALLINE CROKITE"                                                             , "NOCXIUM"                                                                         ,      "836"
"CRYSTALLINE CROKITE"                                                             , "ZYDRINE"                                                                         ,      "149"
"DARK OCHRE"                                                                      , "TRITANIUM"                                                                       ,    "10000"
"DARK OCHRE"                                                                      , "ISOGEN"                                                                          ,     "1600"
"DARK OCHRE"                                                                      , "NOCXIUM"                                                                         ,      "120"
"ONYX OCHRE"                                                                      , "TRITANIUM"                                                                       ,    "10500"
"ONYX OCHRE"                                                                      , "ISOGEN"                                                                          ,     "1680"
"ONYX OCHRE"                                                                      , "NOCXIUM"                                                                         ,      "126"
"OBSIDIAN OCHRE"                                                                  , "TRITANIUM"                                                                       ,    "11000"
"OBSIDIAN OCHRE"                                                                  , "ISOGEN"                                                                          ,     "1760"
"OBSIDIAN OCHRE"                                                                  , "NOCXIUM"                                                                         ,      "132"
"GNEISS"                                                                          , "PYERITE"                                                                         ,     "2200"
"GNEISS"                                                                          , "MEXALLON"                                                                        ,     "2400"
"GNEISS"                                                                          , "ISOGEN"                                                                          ,      "300"
"IRIDESCENT GNEISS"                                                               , "PYERITE"                                                                         ,     "2310"
"IRIDESCENT GNEISS"                                                               , "MEXALLON"                                                                        ,     "2520"
"IRIDESCENT GNEISS"                                                               , "ISOGEN"                                                                          ,      "315"
"PRISMATIC GNEISS"                                                                , "PYERITE"                                                                         ,     "2420"
"PRISMATIC GNEISS"                                                                , "MEXALLON"                                                                        ,     "2640"
"PRISMATIC GNEISS"                                                                , "ISOGEN"                                                                          ,      "330"
"HEDBERGITE"                                                                      , "PYERITE"                                                                         ,     "1000"
"HEDBERGITE"                                                                      , "ISOGEN"                                                                          ,      "200"
"HEDBERGITE"                                                                      , "NOCXIUM"                                                                         ,      "100"
"HEDBERGITE"                                                                      , "ZYDRINE"                                                                         ,       "19"
"VITRIC HEDBERGITE"                                                               , "PYERITE"                                                                         ,     "1050"
"VITRIC HEDBERGITE"                                                               , "ISOGEN"                                                                          ,      "210"
"VITRIC HEDBERGITE"                                                               , "NOCXIUM"                                                                         ,      "105"
"VITRIC HEDBERGITE"                                                               , "ZYDRINE"                                                                         ,       "20"
"GLAZED HEDBERGITE"                                                               , "PYERITE"                                                                         ,     "1100"
"GLAZED HEDBERGITE"                                                               , "ISOGEN"                                                                          ,      "220"
"GLAZED HEDBERGITE"                                                               , "NOCXIUM"                                                                         ,      "110"
"GLAZED HEDBERGITE"                                                               , "ZYDRINE"                                                                         ,       "21"
"HEMORPHITE"                                                                      , "TRITANIUM"                                                                       ,     "2200"
"HEMORPHITE"                                                                      , "ISOGEN"                                                                          ,      "100"
"HEMORPHITE"                                                                      , "NOCXIUM"                                                                         ,      "120"
"HEMORPHITE"                                                                      , "ZYDRINE"                                                                         ,       "15"
"VIVID HEMORPHITE"                                                                , "TRITANIUM"                                                                       ,     "2310"
"VIVID HEMORPHITE"                                                                , "ISOGEN"                                                                          ,      "105"
"VIVID HEMORPHITE"                                                                , "NOCXIUM"                                                                         ,      "126"
"VIVID HEMORPHITE"                                                                , "ZYDRINE"                                                                         ,       "16"
"RADIANT HEMORPHITE"                                                              , "TRITANIUM"                                                                       ,     "2420"
"RADIANT HEMORPHITE"                                                              , "ISOGEN"                                                                          ,      "110"
"RADIANT HEMORPHITE"                                                              , "NOCXIUM"                                                                         ,      "132"
"RADIANT HEMORPHITE"                                                              , "ZYDRINE"                                                                         ,       "17"
"JASPET"                                                                          , "MEXALLON"                                                                        ,      "350"
"JASPET"                                                                          , "NOCXIUM"                                                                         ,       "75"
"JASPET"                                                                          , "ZYDRINE"                                                                         ,        "8"
"PURE JASPET"                                                                     , "MEXALLON"                                                                        ,      "368"
"PURE JASPET"                                                                     , "NOCXIUM"                                                                         ,       "79"
"PURE JASPET"                                                                     , "ZYDRINE"                                                                         ,        "8"
"PRISTINE JASPET"                                                                 , "MEXALLON"                                                                        ,      "385"
"PRISTINE JASPET"                                                                 , "NOCXIUM"                                                                         ,       "83"
"PRISTINE JASPET"                                                                 , "ZYDRINE"                                                                         ,        "9"
"KERNITE"                                                                         , "TRITANIUM"                                                                       ,      "134"
"KERNITE"                                                                         , "MEXALLON"                                                                        ,      "267"
"KERNITE"                                                                         , "ISOGEN"                                                                          ,      "134"
