 domain                ,  value

"RACE"                 , "AMARR"
"RACE"                 , "CALDARI"
"RACE"                 , "GALLENTE"
"RACE"                 , "JOVE"
"RACE"                 , "MINMATAR"

"RACE"                 , "ANGEL"
"RACE"                 , "BLOOD RAIDER"
"RACE"                 , "GURISTAS"
"RACE"                 , "MORDUS"
"RACE"                 , "SANSHA"
"RACE"                 , "SERPENTIS"
"RACE"                 , "SOE"

"MATERIAL_ORIGIN"      , "GAS"
"MATERIAL_ORIGIN"      , "ICE"
"MATERIAL_ORIGIN"      , "ICE ORE"
"MATERIAL_ORIGIN"      , "ORE"
"MATERIAL_ORIGIN"      , "MINERAL"
"MATERIAL_ORIGIN"      , "PLANET"
"MATERIAL_ORIGIN"      , "MOON"
"MATERIAL_ORIGIN"      , "PRODUCE"
"MATERIAL_ORIGIN"      , "LOOT"
"MATERIAL_ORIGIN"      , "SALVAGE"
"MATERIAL_ORIGIN"      , "MARKET"
"MATERIAL_ORIGIN"      , "CONTRACT"
"MATERIAL_ORIGIN"      , "INVENT"

"ITEM_CLASS"           , "RAW"
"ITEM_CLASS"           , "REFINED"
"ITEM_CLASS"           , "PROCESSED"
"ITEM_CLASS"           , "ADVANCED"
"ITEM_CLASS"           , "SPECIALIZED"

"ITEM_CLASS"           , "BOOSTER"

"ITEM_CLASS"           , "BLUEPRINT"
"ITEM_CLASS"           , "DATACORE"
"ITEM_CLASS"           , "DECRYPTOR"

"ITEM_CLASS"           , "COMPONENT - POWERGRID"
"ITEM_CLASS"           , "COMPONENT - CPU"
"ITEM_CLASS"           , "COMPONENT - CAPACITOR"
"ITEM_CLASS"           , "COMPONENT - ARMOR"
"ITEM_CLASS"           , "COMPONENT - SHIELD"
"ITEM_CLASS"           , "COMPONENT - PROPULSION"
"ITEM_CLASS"           , "COMPONENT - SENSOR"
"ITEM_CLASS"           , "COMPONENT - TURRET"
"ITEM_CLASS"           , "COMPONENT - MISSILE"
"ITEM_CLASS"           , "COMPONENT - CAPITAL SHIP"
"ITEM_CLASS"           , "COMPONENT - FUEL BLOCK"

"ITEM_CLASS"           , "EQUIPMENT - ENGINEERING"
"ITEM_CLASS"           , "EQUIPMENT - DRONE UPGRADE"
"ITEM_CLASS"           , "EQUIPMENT - FLEET ASSISTANCE"
"ITEM_CLASS"           , "EQUIPMENT - HULL & ARMOR"
"ITEM_CLASS"           , "EQUIPMENT - SHIELD"
"ITEM_CLASS"           , "EQUIPMENT - TURRETS & BAYS"
"ITEM_CLASS"           , "EQUIPMENT - EWAR"

"ITEM_CLASS"           , "RIG - TECH 1"
"ITEM_CLASS"           , "RIG - TECH 2"

"ITEM_CLASS"           , "DRONE - FIGHTER"

"ITEM_CLASS"           , "SHIP - FRIGATE"
"ITEM_CLASS"           , "SHIP - DESTROYER"
"ITEM_CLASS"           , "SHIP - INTERDICTOR"
"ITEM_CLASS"           , "SHIP - CRUISER"
"ITEM_CLASS"           , "SHIP - HEAVY ASSAULT CRUISER"
"ITEM_CLASS"           , "SHIP - HEAVY INTERDICTOR CRUISER"
"ITEM_CLASS"           , "SHIP - RECON SHIP"
"ITEM_CLASS"           , "SHIP - LOGISTICS"
"ITEM_CLASS"           , "SHIP - BATTLECRUISER"
"ITEM_CLASS"           , "SHIP - COMMAND SHIP"
"ITEM_CLASS"           , "SHIP - INDUSTRIAL"
"ITEM_CLASS"           , "SHIP - BLOCKADE RUNNER"
"ITEM_CLASS"           , "SHIP - DEEP SPACE TRANSPORT"

"ITEM_CLASS"           , "STARBASE - TOWER"
"ITEM_CLASS"           , "STARBASE - SHIELD"
"ITEM_CLASS"           , "STARBASE - HARVEST"
"ITEM_CLASS"           , "STARBASE - STORAGE"
"ITEM_CLASS"           , "STARBASE - REACTOR"

"ITEM_CLASS"           , "DEPLOYABLE"

"ITEM_CLASS"           , "TRADE GOODS"
