 label                                                                            ,  path                                                                                                      ,       volume  ,   eveapi_id  ,  meffic  , baseprob ,  copies

"ABSOLUTION BLUEPRINT COPY"                                                       , "/Blueprints/Ships/Command Ships/Amarr"                                                                    ,        "0"    ,           "" ,   ""     , ""       , ""
"DAMNATION BLUEPRINT COPY"                                                        , "/Blueprints/Ships/Command Ships/Amarr"                                                                    ,        "0"    ,           "" ,   ""     , ""       , ""
"NIGHTHAWK BLUEPRINT COPY"                                                        , "/Blueprints/Ships/Command Ships/Caldari"                                                                  ,        "0"    ,           "" ,   ""     , ""       , ""
"VULTURE BLUEPRINT COPY"                                                          , "/Blueprints/Ships/Command Ships/Caldari"                                                                  ,        "0"    ,           "" ,   ""     , ""       , ""
"ASTARTE BLUEPRINT COPY"                                                          , "/Blueprints/Ships/Command Ships/Gallente"                                                                 ,        "0"    ,           "" ,   ""     , ""       , ""
"EOS BLUEPRINT COPY"                                                              , "/Blueprints/Ships/Command Ships/Gallente"                                                                 ,        "0"    ,           "" ,   ""     , ""       , ""
"CLAYMORE BLUEPRINT COPY"                                                         , "/Blueprints/Ships/Command Ships/Minmatar"                                                                 ,        "0"    ,           "" ,   ""     , ""       , ""
"SLEIPNIR BLUEPRINT COPY"                                                         , "/Blueprints/Ships/Command Ships/Minmatar"                                                                 ,        "0"    ,           "" ,   ""     , ""       , ""
"SACRILEGE BLUEPRINT COPY"                                                        , "/Blueprints/Ships/Heavy Assault Cruisers/Amarr"                                                           ,        "0"    ,           "" ,   ""     , ""       , ""
"ZEALOT BLUEPRINT COPY"                                                           , "/Blueprints/Ships/Heavy Assault Cruisers/Amarr"                                                           ,        "0"    ,           "" ,   ""     , ""       , ""
"CERBERUS BLUEPRINT COPY"                                                         , "/Blueprints/Ships/Heavy Assault Cruisers/Caldari"                                                         ,        "0"    ,           "" ,   ""     , ""       , ""
"EAGLE BLUEPRINT COPY"                                                            , "/Blueprints/Ships/Heavy Assault Cruisers/Caldari"                                                         ,        "0"    ,           "" ,   ""     , ""       , ""
"DEIMOS BLUEPRINT COPY"                                                           , "/Blueprints/Ships/Heavy Assault Cruisers/Gallente"                                                        ,        "0"    ,           "" ,   ""     , ""       , ""
"ISHTAR BLUEPRINT COPY"                                                           , "/Blueprints/Ships/Heavy Assault Cruisers/Gallente"                                                        ,        "0"    ,           "" ,   ""     , ""       , ""
"MUNINN BLUEPRINT COPY"                                                           , "/Blueprints/Ships/Heavy Assault Cruisers/Minmatar"                                                        ,        "0"    ,           "" ,   ""     , ""       , ""
"VAGABOND BLUEPRINT COPY"                                                         , "/Blueprints/Ships/Heavy Assault Cruisers/Minmatar"                                                        ,        "0"    ,           "" ,   ""     , ""       , ""
"HERETIC BLUEPRINT COPY"                                                          , "/Blueprints/Ships/Interdictors/Amarr"                                                                     ,        "0"    ,           "" ,   ""     , ""       , ""
"FLYCATCHER BLUEPRINT COPY"                                                       , "/Blueprints/Ships/Interdictors/Caldari"                                                                   ,        "0"    ,           "" ,   ""     , ""       , ""
"ERIS BLUEPRINT COPY"                                                             , "/Blueprints/Ships/Interdictors/Gallente"                                                                  ,        "0"    ,           "" ,   ""     , ""       , ""
"SABRE BLUEPRINT COPY"                                                            , "/Blueprints/Ships/Interdictors/Minmatar"                                                                  ,        "0"    ,           "" ,   ""     , ""       , ""
"GUARDIAN BLUEPRINT COPY"                                                         , "/Blueprints/Ships/Logistics/Amarr"                                                                        ,        "0"    ,           "" ,   ""     , ""       , ""
"BASILISK BLUEPRINT COPY"                                                         , "/Blueprints/Ships/Logistics/Caldari"                                                                      ,        "0"    ,           "" ,   ""     , ""       , ""
"ONEIROS BLUEPRINT COPY"                                                          , "/Blueprints/Ships/Logistics/Gallente"                                                                     ,        "0"    ,           "" ,   ""     , ""       , ""
"SCIMITAR BLUEPRINT COPY"                                                         , "/Blueprints/Ships/Logistics/Minmatar"                                                                     ,        "0"    ,           "" ,   ""     , ""       , ""
"CURSE BLUEPRINT COPY"                                                            , "/Blueprints/Ships/Recon Ships/Amarr"                                                                      ,        "0"    ,           "" ,   ""     , ""       , ""
"PILGRIM BLUEPRINT COPY"                                                          , "/Blueprints/Ships/Recon Ships/Amarr"                                                                      ,        "0"    ,           "" ,   ""     , ""       , ""
"FALCON BLUEPRINT COPY"                                                           , "/Blueprints/Ships/Recon Ships/Caldari"                                                                    ,        "0"    ,           "" ,   ""     , ""       , ""
"ROOK BLUEPRINT COPY"                                                             , "/Blueprints/Ships/Recon Ships/Caldari"                                                                    ,        "0"    ,           "" ,   ""     , ""       , ""
"ARAZU BLUEPRINT COPY"                                                            , "/Blueprints/Ships/Recon Ships/Gallente"                                                                   ,        "0"    ,           "" ,   ""     , ""       , ""
